Ticket ID,Start Date,Start Time,End Date,End Time,Type
57552133,2023-04-19,11:58:11,2023-04-19,12:00:11,voice
89723903,2023-04-19,10:04:23,2023-04-19,10:09:23,voice
86414595,2023-04-20,17:53:54,2023-04-20,18:01:54,voice
88798962,2023-04-09,12:53:59,2023-04-09,12:59:59,voice
98401071,2023-04-25,13:37:25,2023-04-25,13:45:25,voice
74350415,2023-04-03,11:41:18,2023-04-03,11:42:18,voice
16829858,2023-04-18,12:22:11,2023-04-18,12:24:11,voice
27827514,2023-04-05,12:46:45,2023-04-05,12:54:45,voice
8471180,2023-04-09,14:28:18,2023-04-09,14:37:18,voice
94039106,2023-04-03,11:16:37,2023-04-03,11:20:37,voice
48438320,2023-04-04,13:23:31,2023-04-04,13:31:31,voice
15602874,2023-04-21,11:03:30,2023-04-21,11:10:30,voice
81982138,2023-04-14,11:19:07,2023-04-14,11:24:07,voice
34546189,2023-04-23,12:32:46,2023-04-23,12:38:46,voice
39431068,2023-04-15,12:54:25,2023-04-15,12:58:25,voice
83583582,2023-04-13,11:53:52,2023-04-13,11:57:52,voice
72041432,2023-04-13,14:59:17,2023-04-13,15:07:17,voice
74527649,2023-04-01,12:11:23,2023-04-01,12:13:23,voice
61307714,2023-04-23,12:20:02,2023-04-23,12:28:02,voice
46805639,2023-04-12,12:45:44,2023-04-12,12:47:44,voice
13152723,2023-04-10,13:09:51,2023-04-10,13:18:51,voice
79631531,2023-04-22,10:07:29,2023-04-22,10:17:29,voice
64633059,2023-04-28,09:48:41,2023-04-28,09:52:41,voice
85874690,2023-04-09,11:25:00,2023-04-09,11:34:00,voice
9369993,2023-04-06,12:42:04,2023-04-06,12:44:04,voice
31742915,2023-04-24,11:55:28,2023-04-24,12:05:28,voice
64551020,2023-04-19,12:39:35,2023-04-19,12:41:35,voice
69571638,2023-04-29,14:07:55,2023-04-29,14:09:55,voice
56528926,2023-04-01,12:42:45,2023-04-01,12:46:45,voice
37640813,2023-04-11,13:33:39,2023-04-11,13:34:39,voice
82213996,2023-04-25,09:11:21,2023-04-25,09:13:21,voice
77249999,2023-04-23,11:50:02,2023-04-23,11:54:02,voice
61021963,2023-04-30,12:50:53,2023-04-30,12:51:53,voice
93733344,2023-04-06,12:03:36,2023-04-06,12:07:36,voice
19219336,2023-04-24,11:27:51,2023-04-24,11:37:51,voice
36301520,2023-04-23,13:52:19,2023-04-23,13:54:19,voice
35747827,2023-04-06,11:01:25,2023-04-06,11:05:25,voice
89551587,2023-04-10,11:13:47,2023-04-10,11:18:47,voice
97941578,2023-04-09,12:17:33,2023-04-09,12:27:33,voice
96822327,2023-04-28,12:13:32,2023-04-28,12:16:32,voice
25686868,2023-04-12,15:08:23,2023-04-12,15:12:23,voice
12367969,2023-04-29,17:20:41,2023-04-29,17:21:41,voice
40244390,2023-04-29,17:34:48,2023-04-29,17:38:48,voice
11866633,2023-04-22,11:34:11,2023-04-22,11:40:11,voice
41479924,2023-04-13,11:10:11,2023-04-13,11:11:11,voice
21393322,2023-04-02,15:55:22,2023-04-02,15:56:22,voice
45221560,2023-04-20,12:19:35,2023-04-20,12:25:35,voice
50959519,2023-04-17,11:12:11,2023-04-17,11:22:11,voice
6322855,2023-04-20,17:16:26,2023-04-20,17:24:26,voice
16691757,2023-04-06,12:13:06,2023-04-06,12:22:06,voice
54444671,2023-04-16,11:29:34,2023-04-16,11:31:34,voice
93358126,2023-04-05,12:05:45,2023-04-05,12:08:45,voice
55846670,2023-04-04,14:18:50,2023-04-04,14:23:50,voice
7347104,2023-04-16,13:51:54,2023-04-16,13:52:54,voice
92549780,2023-04-10,11:04:37,2023-04-10,11:08:37,voice
49162917,2023-04-06,11:29:16,2023-04-06,11:39:16,voice
61046884,2023-04-30,15:37:04,2023-04-30,15:47:04,voice
34708520,2023-04-16,12:08:03,2023-04-16,12:15:03,voice
45462485,2023-04-06,11:35:09,2023-04-06,11:39:09,voice
47800612,2023-04-13,11:27:20,2023-04-13,11:33:20,voice
40024665,2023-04-24,12:53:57,2023-04-24,13:02:57,voice
29794168,2023-04-02,14:52:05,2023-04-02,14:56:05,voice
91852464,2023-04-06,13:19:52,2023-04-06,13:27:52,voice
11296324,2023-04-04,12:35:55,2023-04-04,12:38:55,voice
96946585,2023-04-22,13:13:22,2023-04-22,13:19:22,voice
41234353,2023-04-01,11:07:11,2023-04-01,11:09:11,voice
98259934,2023-04-07,13:58:40,2023-04-07,14:00:40,voice
28239930,2023-04-26,11:07:16,2023-04-26,11:08:16,voice
21815253,2023-04-07,14:36:14,2023-04-07,14:45:14,voice
44383780,2023-04-16,11:43:09,2023-04-16,11:48:09,voice
20175703,2023-04-30,12:24:24,2023-04-30,12:28:24,voice
1220657,2023-04-27,11:34:19,2023-04-27,11:38:19,voice
74986566,2023-04-12,13:19:10,2023-04-12,13:24:10,voice
70867987,2023-04-10,12:24:49,2023-04-10,12:30:49,voice
38569125,2023-04-12,12:12:07,2023-04-12,12:19:07,voice
38901008,2023-04-08,11:55:24,2023-04-08,12:05:24,voice
26340517,2023-04-12,12:08:43,2023-04-12,12:12:43,voice
57320114,2023-04-07,09:19:30,2023-04-07,09:27:30,voice
92481192,2023-04-27,11:43:52,2023-04-27,11:47:52,voice
75555273,2023-04-30,11:42:23,2023-04-30,11:43:23,voice
16014269,2023-04-03,11:03:43,2023-04-03,11:10:43,voice
75061126,2023-04-15,13:21:39,2023-04-15,13:30:39,voice
69612755,2023-04-18,11:48:36,2023-04-18,11:57:36,voice
47917522,2023-04-19,11:58:43,2023-04-19,12:01:43,voice
55123922,2023-04-18,10:44:27,2023-04-18,10:54:27,voice
93876580,2023-04-20,13:32:39,2023-04-20,13:42:39,voice
3709279,2023-04-07,12:20:01,2023-04-07,12:22:01,voice
