Ticket ID,Start Date,Start Time,End Date,End Time,Type
19507632,2023-08-24,12:48:39,2023-08-24,12:52:39,email
88947163,2023-08-04,09:46:38,2023-08-04,09:52:38,voice
37186592,2023-08-05,12:47:38,2023-08-05,12:53:38,email
43112852,2023-08-21,09:50:05,2023-08-21,09:52:05,email
33473184,2023-08-11,13:38:27,2023-08-11,13:44:27,chat
73439388,2023-08-30,11:11:01,2023-08-30,11:16:01,chat
67328377,2023-08-18,10:02:37,2023-08-18,10:10:37,chat
89743140,2023-08-18,12:58:21,2023-08-18,13:01:21,email
46055381,2023-08-22,12:48:29,2023-08-22,12:56:29,email
37150926,2023-08-10,09:05:13,2023-08-10,09:11:13,chat
88224904,2023-08-18,11:12:35,2023-08-18,11:15:35,email
4717317,2023-08-08,12:32:27,2023-08-08,12:39:27,voice
52430296,2023-08-19,14:39:40,2023-08-19,14:41:40,chat
65162157,2023-08-13,13:47:42,2023-08-13,13:56:42,voice
88404030,2023-08-21,09:53:23,2023-08-21,10:01:23,email
61858943,2023-08-12,09:33:53,2023-08-12,09:36:53,voice
27417726,2023-08-15,11:34:24,2023-08-15,11:41:24,email
24059170,2023-08-24,12:26:13,2023-08-24,12:28:13,email
42653899,2023-08-06,09:03:24,2023-08-06,09:08:24,email
88462186,2023-08-16,13:23:06,2023-08-16,13:28:06,voice
64715942,2023-09-02,12:21:37,2023-09-02,12:29:37,chat
62241775,2023-08-28,10:10:26,2023-08-28,10:15:26,chat
44830757,2023-08-23,12:41:34,2023-08-23,12:51:34,chat
37294281,2023-08-25,11:31:49,2023-08-25,11:34:49,voice
20375366,2023-08-07,11:38:54,2023-08-07,11:43:54,voice
92258178,2023-09-02,12:34:34,2023-09-02,12:43:34,voice
56635373,2023-08-30,10:10:23,2023-08-30,10:12:23,voice
29705382,2023-08-19,09:57:16,2023-08-19,10:03:16,email
84838292,2023-08-19,17:40:42,2023-08-19,17:41:42,chat
65221651,2023-08-18,17:14:23,2023-08-18,17:16:23,chat
51018935,2023-08-04,13:22:11,2023-08-04,13:29:11,chat
18596234,2023-08-09,13:12:33,2023-08-09,13:13:33,chat
40158579,2023-08-19,14:16:51,2023-08-19,14:20:51,chat
90133362,2023-08-25,17:15:38,2023-08-25,17:25:38,email
93072017,2023-08-19,17:16:01,2023-08-19,17:17:01,email
46825251,2023-08-29,11:17:47,2023-08-29,11:26:47,email
66733020,2023-09-02,15:31:03,2023-09-02,15:41:03,email
10165277,2023-08-24,11:41:07,2023-08-24,11:50:07,email
46869456,2023-08-26,09:39:29,2023-08-26,09:41:29,voice
